Sales,Profit,Assets,Market_Value
252.90,50.00,4090.70,588.10
369.00,73.40,1070.00,899.10
489.10,116.90,661.50,1919.30
223.80,50.40,6586.00,215.20
183.30,25.00,3273.80,307.30
590.70,37.70,531.00,1922.10
199.80,47.00,5403.80,187.50
236.60,86.20,484.30,3123.10
193.50,37.40,5832.90,170.90
317.90,82.40,407.40,2177.70
311.90,34.20,595.40,274.90
381.60,100.40,337.40,2911.50
173.30,32.10,4657.10,145.70
331.90,32.80,377.90,536.70
144.90,22.20,3000.50,166.40
120.10,18.80,1959.20,212.90
289.70,17.90,402.00,228.50
399.10,22.70,388.10,177.60
379.50,15.40,284.20,482.90
657.30,18.90,254.10,521.10
202.40,14.90,349.80,388.00
195.00,20.30,261.70,299.80
116.70,9.40,1698.40,150.80
142.70,45.80,222.80,1197.00
212.60,21.50,283.10,171.20
99.80,9.50,1228.50,162.90
90.10,11.30,1477.80,150.40
163.90,7.80,2432.50,122.20
136.10,11.80,1654.80,105.50
142.70,18.70,281.00,204.10
148.20,9.70,1056.80,113.80
157.60,11.10,2862.70,88.90
134.00,11.30,380.20,168.60
70.60,20.30,1594.00,127.40
81.30,28.90,1607.10,97.40
142.80,12.30,1944.00,82.10
122.30,13.60,399.40,124.80
86.20,18.30,227.80,472.30
74.00,10.30,2667.40,117.20
121.90,15.40,263.60,154.10
131.30,11.20,244.20,200.80
414.90,8.50,289.70,106.80
348.60,16.30,672.00,65.60
80.20,8.90,1430.30,101.50
89.70,17.50,172.00,372.20
71.50,27.30,180.90,672.00
202.80,9.20,275.40,104.40
93.10,16.40,158.70,423.90
108.80,8.40,210.50,233.10
103.50,12.50,150.40,272.10
109.40,7.60,684.00,81.60
164.30,14.40,288.50,77.10
69.50,8.90,269.30,174.70
99.40,22.30,213.20,92.60
71.80,8.10,807.40,87.60
78.80,13.10,1982.50,59.20
80.30,11.30,2259.70,58.10
94.70,13.70,109.20,566.00
84.10,15.10,119.60,395.70
204.90,20.10,223.30,65.00
168.30,11.60,274.70,65.80
121.50,4.80,318.80,119.10
61.30,6.70,1950.80,80.90
361.30,7.30,249.70,72.40
49.30,7.70,483.20,133.60
75.20,9.00,865.80,63.50
90.00,6.70,225.40,101.90
84.40,8.00,156.30,148.20
39.00,6.50,870.70,135.40
98.00,4.90,561.40,73.60
